,review_date,review_title,review_text,rating,date_of_stay,trip_type,reviewer_name,contribution,help_full_votes,location_reviewer,Location_rating,Service_rating,Cleanliness_rating,Rooms_rating,Sleep_Quality_rating,Value_rating
17,Dec 2020,Excellent,The stay was so comfortable. Room was cleaned properly. I fotget my phone after check out then Subash help me a lot and he give me lot of communication n i feel very happy to get my phone again. Im very thankful to him.,5.0,December 2020,business,Janeshanta,1,,,,,,,,
18,Dec 2020,Awesome stay,"Awesome stay,
I stayed here more than a week.
Staff and service was excellent. The housekeeping was awesome. Specially Sattwaki, who was taken care my room cleaning on daily basis. Proper hygiene and safety maintained by the hotel staffs. The hotel is located next to Raidurg metro station, which is so easy to reach.",5.0,December 2020,solo,Ragunath P,1,,"Chopda, India",,,,,,
19,Dec 2020,Awesome Stay,"Stay was pleasant and peaceful. Special thanks to Mr Subash for room decoration which is awesome.
Thankyou staff for well and hygienic maintenance. Food is very nice.
Room is very spacious and comfortable to stay.",5.0,December 2020,family,Cherry,2,,,,,,,,
20,Dec 2020,Pleasant stay,"Staff n service was excellent.. Proper hygiene and safety maintained by the hotel staff... The hotel is centrally located so important location are a easy reach..
Some equipment in the room seems dated.. But enjoyed the stay.

Thank you",4.0,December 2020,family,Likh,1,,,,,,,,
21,Dec 2020,Excellent,It was a wonderful experience The stay was excellent and special thanks to Mr subash kannan for room decoration with flowers and balloons everything was amazing thankyou for your service rooms are sparkling clean👌😊😊,5.0,December 2020,couple,Sampath reddy,1,,,,,,,,
22,Dec 2020,Wonderful hospitality,"Food made by chef K V KRISHNA, VEDA, RAKESH is so yummy and tasty. Room are highgenic. Wonderful team 👏. Conference rooms are too good. Front office desk, room service staffs are very friendly. Very near to local metro stations",5.0,December 2020,business,Abdul Rahiman,1,,,,,,,,
23,Dec 2020,Skd agro marketing pvt Ltd,"Excellent Food and excellent service
Very thank full to “chef Kv Krishna (head chef)
Veda ,Rakesh .
Thank you All once again for giving Thebest 👌 🙏
I will share to my family members and friends and my company colleagues.",5.0,December 2020,business,Noothi s,1,,,,,,,,
24,Dec 2020,Perfect place to stay in Hyderabad,"Hotel is well maintained and excellent service. All safety precautions are taken to ensure safety. The location was ideal for us to commute.Just a few yards away from metro station. I never felt that I am away from home. The staff are very friendly so caring. I must say that they are not following robotic culture and humans are working here. Appreciate the way they have created employment opportunities to disabled. The food here was very excellent, breakfast buffet was very good. Chef Krishna and his team were very helpful to accomodate our requests.I really love to stay here again and again. Whenever I will come to Hyderabad will surely stay here.

Thank you guys.",5.0,October 2020,family,Spurthi B,1,,,,,,,,
25,Dec 2020,Lovely hotel. Very comfortable,"Absolutely outstanding hotel perfectly located just 5 steps away from Metro station. Helpful, friendly staff especially Ms.Navya, she was very approachable, polite and helpful . We stayed at this hotel to attend an interview, Good buffet breakfast, The hotel is very clean throughout, and our room was spacious with everything that we needed. i I would highly recommend this hotel. will be back soon.",5.0,February 2020,business,Akshitha,1,,"Hyderabad District, India",5.0,5.0,,,,5.0
26,Dec 2020,Best Assistance by crew member Navya,It's been a pleasant stay.. Positive vibes and gesture by all the staff especially by Navya..i didn't expect such a pleasant and happy trip in Hyderabad..Thanks to hotel staff and kitchen people.. service by Ms.Navya is too good and I will recommend to my friends to choose this hotel..Thanks😊,5.0,January 2020,solo,Tarak R,1,,,,,,,,
27,Dec 2020,5 STAR ACCOMMODATION,The stay was very good and the way they treated us is also good.The food was excellent and the way the staff responded was awesome 😘.I would like to visit ur hotel again and again.. even I'm thinking to suggest my frnds tooo for this❤️ and I would like to thank NAVYA for providing such a good hospitality for us.I once again thank u soo much for making our stay soo beautiful 😎.thanks & regards.,5.0,December 2020,friends,satya r,1,,,,,,,,
28,Dec 2020,Dibya Gurung,"Had visited lemon tree premier in Hitec city, Hyderabad.... with my parents for thier medical check up ... the service provided by the hotel staff was excellent... especially one Miss Roshni from the front desk was very helpful .... she was very prompt, patient and courteous ...",5.0,December 2020,family,Bobo,2,,,,,,,,
29,Dec 2020,Hotel noise I like hotel,"I have booked 02 rooms for a week of stay. I worried about cleanliness at this pandemic period. After came here, we felt safety to stay here. As Mr. Asit cleaning our room daily, and Mr. Subash is well caring us. And service people are good. We felt so comfortable, thanks for taking care of us.",5.0,December 2020,business,Santosh kumar,1,,,,,,,,
30,Dec 2020,Stay,I had a great experience in lemontree hyderabad . The food was too yummy and the service is too good . Such a pleasant stay . Hotel staff was very nice and humble and the hotel is very clean & safe specially in covid time they are following all the rules in covid . I felt good and safe here . Thankyou Lemontree 👍🏻,5.0,December 2020,couple,Nikita kanwar,1,,,,,,,,
31,Dec 2020,Booked it for business trip - 5 nights,"Overall stay was good with good rooms, foods. Lemontree hitech city was perfect for it. Overall hospitality, stay experience, location, quality of hotel was totally satisfactory.

Hotel staff, receptionist, citrus cafe staff, housekeeping staff (specially sattwika housekeeping person) were helpful.

Recommended lemontree hitech City for business trip to Hyderabad.",5.0,December 2020,business,Sachin Jha,1,,,4.0,5.0,5.0,,,
32,Dec 2020,5 star accommodation,"It was a good stay !The food was excellent and the staff superb! There was a staff members who was particularly helpful, accommodating and everything with us . It was a wonderful experience. Good hospitality.we would definitely stay there again when ever we have been to Hyderabad.

I would like to convey my special thanks to VINEETH(Manager), Aanandit(Manager), KV Krishna (Executive sous chef), front desk team and Stewards team.

Once again thanks you so much for the pleasant stay in Hyderabad with such an amenities and wonderful hospitality.

Thanks & Regards,
Venkatesh",5.0,December 2020,couple,Venkatesh,1,,,,,,,,
33,Dec 2020,Amazing Experience after a long time,I was well satisfied with the way the rooms were cleaned and sanitised during these trouble times. I was happy with the service and assistant provided by Mr. Subash Kannan who enquired on daily basis regarding my exp and need. Since i was staying for a long haul Mr. Phanish housekeeping person was of great help cleaned and changed bed covers promptly.... Food was excellent IT WAS LIKE STAYING AT HOME WITH FRIENDS TO CHECK UP ON YOU... Awesome....,5.0,December 2020,business,jayapradeep s,2,,,,5.0,,5.0,,5.0
34,Dec 2020,Neat and clean.Good in room food.friendly staff.,"Overall a very good hospitality by staff and in room service,specially Mr bimaul Rout Assists in a dispute raised by local auto driver.
The rooms were very neat and clean,however in room black tea Indian famous brand were not present there,compromised with gree tea.
Water bottle and milk n tea bag request was made many times.They didn’t turned there self.",5.0,December 2020,family,Shiv Sharma,2,,,,,,,,
35,Dec 2020,Great stay as always,"Food, service, convenience, everything great as usual. Wherever I travel Lemon Tree has always been mine go to place for business or leisure. High speed WIFI with good comfort.

Special thanks to Sattwaki for her great service.",5.0,December 2020,business,Shaik,1,,,5.0,5.0,,,5.0,
36,Dec 2020,Great Room Service by Sattwaki,Sattwaki from room service had really made it easy for me. Completely professional and showed a great sense hospitality.Whenever you come back its her effort that she had already made which makes you feel great about the place,4.0,December 2020,business,Manish,1,,,,5.0,,,4.0,4.0
37,Dec 2020,Perfect stay for business trip,"I booked for 5 nights for my visit to Hyderabad and lemontree hitech city was perfect for it. Overall hospitality, stay experience, location, quality of hotel was totally satisfactory. All the hotel staff including receptionist, citrus cafe staff, housekeeping staff (specially sattwika housekeeping person) all were polite, professional & helpful.

I would recommend lemontree hitech City for business trip to Hyderabad.",5.0,December 2020,business,Vipul Kansara,2,,,,,,,,
38,Dec 2020,Lemon tree hotel review...,Looks great with comfortness..and throughly enjoyed the ambiance of the hotel .hotel staff are up to the level..location are great room quality are so refreshing and nice nice view through windows.food of the hotle are so good with quality .when u go to Hyderabad pls visit the lemon tree hotel will enrich you with great comfortness .thank you,5.0,December 2020,business,Maduranayagam,1,,,,,,,,
39,Dec 2020,Great Hotel,"Hotel rooms are good and very much comfortable, location is also best.. overall hotel is too good.
catering staffs are really very good and friendly, especially Sredhar, Lipi. Mr.Ranjan is very friendly have polite nature with a big smile.
Big thanks to lipi. For taking so much good care for breakfast and dinner of everybody and go above and beyond to make sure u have the best time. U seriously deserve appreciation.
Mr.Anandit Nagar is very great person, very friendly and take care of the people in such a way that if anybody faces any problem, he considers it as if its his problem.
This 3 ppl are credit to your organization.",4.0,November 2020,business,Saish Dhavliker,1,,,4.0,4.0,,4.0,,
40,Dec 2020,To support lemon tree work .,The staff is very kind or helpfull nature .its my personal feel what i found there .i got small accident but they help me to out or police complain too .thnxx the whole staff special for bimal security manager .,5.0,December 2020,business,PoojaBhadoriya,1,,,,,,,,
41,Dec 2020,Great stay,Such a good hotel in thos city. All staffs are friendly and their hospitality is good. I specifically like to thank Mallaih and Subash. I'll come back again. And will surely recommend to friends and family.,5.0,December 2020,business,Srinivas Rao,1,,,,,,,,
42,Dec 2020,Best for Couples,Everything is fine.....Food is very tasty and LIPI she served the food very disciplinely and everything is good and place is very pleasant and Private too..... Like to visit once again with Family and friends...,5.0,December 2020,couple,Rakesh K,2,,,,,,,,
43,Dec 2020,Fantastic Stay,"A fantastic stay at Lemon Tree Premier.. caring, attentive and responsive reception staff including Room Service. Good ambience. A decent restaurant with breakfast and dinner included. Lipi, Veda and Hemanth at restaurant were excellent at service. Overall a nice experience of staying at Lemon Tree during business visit for 10 days. Room No. 821.",5.0,December 2020,business,prashanth g,1,,,,5.0,5.0,5.0,,
44,Dec 2020,Best Stay,"Was in lemontree hotels, Hitech city for official purpose.. Stay was excellent, budget friendly and very supportive staff.. Specially want to mention about Venkat Ram, employee of lemontree for his dedication towards work and care towards the customers..",5.0,December 2020,business,Dr Veeru,1,,"Hyderabad, India",,,,,,
45,Dec 2020,Stay at Hyderabad,The stay was good at lemon tree premier Hitech City and the house keeping staff Sattwaki took good care of us and made us comfortable during our stay. The place is. Hygienic and safe during the current times.,5.0,December 2020,business,Ram,1,,"Hyderabad, India",5.0,5.0,5.0,,,
46,Dec 2020,Room 908,"Good hotel with decreased facilities due to Covid, which is understandable. But no compromise in hospitality by the staff members (Sattwaki). Good buffet spreads for breakfast and dinner. Overall good stay and would love to be back.",4.0,December 2020,solo,Suneet,1,,,,,,,,
47,Dec 2020,Nagarjuna,Room no.916.we have good experience.best hotel for gud experience for families.staff wasvery cooperative.housekeeping was very good(sattwaki)is very gud response .I heartful thanks to female staff sattwaki in housekeeping and lipi in dinning part.,5.0,December 2020,business,Camper38109940378,1,,,,,,,,
48,Dec 2020,Employee Feedback,"VedPrakash, Madan, Sridhar, Lipi - amazing staff members , very warm and helpful. They took care of us very passionately and made our day more joyful and awesome.

I wish all employees treat there customers the same way...we would come back to this place again and again and also recommend it to our office and friends.",5.0,December 2020,,Suni M,1,,,,5.0,,5.0,,
49,Dec 2020,Room 925,"Best hotel for stay for family and business people. Quality of the food is too good. Best Service provided by the staff members (Sattwaki). Clean and Safe stay. Secured environment
Will recommend every person.",5.0,December 2020,business,Himani,3,,,,,,,,
50,Dec 2020,About hotel,This is the best place to visit...I have much memories with lemon tree hotel have best time mostly vedvyas gave more advice and he helps us lot... I recommend to visit here and have pleasent accommodation and food,5.0,November 2020,couple,Akhila M,3,,,,,,,,
51,Dec 2020,Hotel Services - Lemontree Hotel Hitec City,"Services offered by Lemontree Hotel is Awesome.
Staff is very responsive and we'll behave.
Room are cleaned and regular sanitize as and when ask for.
I would like to thanks these female staff (Sattwaki & Libi) who takes care the guest visit, cleaning and dining part.

Thanks.
Shashikant Pandey
JP",5.0,December 2020,business,Shashikant Pandey,5,,"Mumbai, India",,,,,,
52,Dec 2020,Marriage Ceremony of my sister,"I am very happy over all staffs of Lemon tree Hotels for their cooperation during this Covid Pandemic situation. Mr. Bimal (Security Executive) of Lemontree Hotel helps to shutout any difficulty if we have and works in safety and security level. He also take care if there was any type of wanting we may have. He is very cooperative and his behaviour is very good . Wish him a good future endeavour. Thank you Mr.
Bimal",5.0,December 2020,family,Prasant Kumar Panigrahi,1,,,,,,,,
53,Dec 2020,Amazing staff!!,"Kudos to Sagar who helped me a long way. This guy went above and beyond to assist me with my requirement during my stay.

My stay for 2 days and sugar who had assisted me the first day of my visit did give a lot of tips and tricks and was available over the phone to have my needs during my stay taken care of..

I am new to the city and the staff is so amazing that they were able to help with my shopping..",5.0,December 2020,couple,Adityan P,1,,,,,,,,
54,Dec 2020,Its a very nice place to stay in Lemon Tree for Business purpose,"Mr Kumar from House Keeping gave good service. The Room is excellent to stay and they are located at the prime place which is accessible for the client visit.
I would suggest this hotel for the corporate people on Business Visit.",4.0,December 2020,business,Vincent Paul,1,,,,4.0,4.0,,5.0,
55,Dec 2020,An Awesome Diwali Experience!!,"First of all i would like to mention that i had already visited Lemon tree Bangalore in Electronic city and i had huge expectations from a Lemon tree hotel stay some of them were not met but some were surpassed....This is Jithin Thomas and my stay was from 01/11/2020 to 14/11/2020.

i would like to begin this review by thanking Mr. Dinesh from the sales team for providing me a fabulous deal and also for checking up on me from time to time if i was facing any inconveniences. I am impressed my your prompt and very good support.

Then i would like to thank the front desk team within which i interacted with Mr. Shubham and Mr. Shiva both were very helpful and fixed any of my room related problems quickly.

Then i would like to thank the House keeping team consisting of Mr. Suyansh and Mr. Nagesh for being meticulous and thorough with their jobs. Thank you both for doing all the housekeeping and laundry related chores with perfection.

Then i would like to mention the most important team that actually made a lot of difference in making me feel good during my stay...the food department and before i begin this part of the review i would like to give a special thanks to Lipi Mam for doing exceptionally well in providing a great homely service all throughout the stay.

Being greeted by Mr. Bala Sravan and Lipi Mam early in the mornings was a delight and i also had the opportunity to be served by Mr. Shreedhar Mr. Shivam Mr. Anil Mr. Guarav and Mr. Bhaskar. , thanks a lot for those wonderful breakfasts.

The dinners were lovey and were handled beautifully by Lipi Mam, i felt homely and it was a delight being pampered like a small kid. I don't have an elder sister but Lipi Mam made sure that if i had one i would want her to be like Lipi Mam. Keep up the good work !! because i have seen you bring smiles to so many faces during my stay.

Then i would like to thank the people who worked behind the scenes in the food department chefs Alam and Madan, all your non veg delicacies including chicken were top notch and especially that rajma dish was lip smacking. Your food sure would lift up ones spirits after a long hard day...

Lastly if i have missed someone in this review or if there is someone whose names i might have not remembered but were a part of making my stay better, a heartfelt thanks to all those people.

Thanks Lemon Tree HITEC city team..Kudos and keep up the good work!!!

There is one tiny thing that i would like to mention it to the Lemon Tree HITEC city team and that would be to allow proper ventilation and opening of windows because the central AC was bringing in smell of cigarettes also from other rooms.

P.S. Thanks a lot Lipi Mam for making my Diwali a lot brighter!! Sorry for the delayed review.",5.0,November 2020,business,Jithin Thomas,1,,,,5.0,5.0,,5.0,
56,Dec 2020,LIC HOUSING FINANCE LTD,"It's a nice experience with LEMON TREE, having full day Conference. Staff are very cooperative, obedient n courteous named mr. Veda, Mr. Ranjan n Mrs. Varsha. I would refer this to my other corporate friends. Thanks a lot.",5.0,December 2020,business,ChandraSekhar Nimmagadda,5,2,,,,,,,
57,Dec 2020,Awesome like old times!,"Felt gr8 checking back in to lemon tree after lock down. Extremely happy to see GM.Reginald and others Gaurav, Iqbal, Vineet, Anjani, Sagar perosnally ensuring covid compliance. Same warm welcome from Bhaskar,Azhar and Feroz helping with the stay n check-in. Felt safe in the lobby, slounge n the room like old times!",5.0,December 2020,solo,KishoreTataworthy,34,3,"Hyderabad, India",,,,,,
58,Dec 2020,"Great service, feels like home","I've always enjoyed staying at Lemon tree - mainly cause of the staff and their service. They are competent & friendly. A special shout out to Shiva - he has been extremely wonderful, greatly accommodating & the best out there! He has definitely made our stay very comfortable, everytime we're there.",5.0,November 2020,business,HarshaKrishna,2,2,"Hyderabad, Andhra Pradesh, India",,,,,,
59,Dec 2020,A pleasant experience,"My wedding was perfectly arranged with all the safety protocols in this hotel. I was too happy with their staff and service. Special mention to Sneha and Varsha , who went out of their way to make the entire event more memorable. I think they are such an asset to the company and did their best to accommodate everything we have asked for !
Totally recommend the hotel in all aspects of stay and hygiene.",5.0,November 2020,family,Debashree S,1,,,,,,,,
60,Dec 2020,Good service,"Very accommodative. We had a good stay for 2 weeks. Subash, their housekeeping manager even arranged a nice bed decoration for our anniversary. Their dining staff also arranged dishes according to our taste.",5.0,December 2020,couple,Karthikb89,13,3,"Hyderabad, India",,,,,,
61,Dec 2020,excellent stay and a beautiful experience,first of all great efforts were made by Anjani to make me as comfortable as i could be and making my stay the most memorable one at hyderabad and feroz at the reception in helping with all the basic requirement and clearly my bills in a hassle free manner.apart from these two guys every one at the hotel was very much helpful and made their best efforts so that i stayed comfortably.i would very much like to come and visit again,5.0,October 2020,business,guneet singh,1,,,,5.0,5.0,5.0,,
62,Nov 2020,"Wedding event planned for 25th NOV,2020","we dealt with Ms. VARSHA and she assisted in all the areas and took care of the entire event very well.
I am glad that I chose Lemon Tree for the event as everything went smooth.
Kudos to lemon tree team.",4.0,November 2020,family,Ankur G,1,,,,,,,,
63,Nov 2020,Housekeeping/dining,"Venkatram the differently abled person did a great job of cleaning my room everyday. Happy about this inclusive initiative of giving an opportunity to them.
At the cafe Sridhar,lipi and Gaurav are really hospitable. Chef Madhan n Ganesh modified the menu on our group request. Rakesh was courteous on in-room dining calls Gm was helpful. Few areas improvement is needed. Should happen in due course",5.0,November 2020,business,Apeeksha Bhat,1,,,,,,,,
64,Nov 2020,Candle light dinner in semi open air,"Kudos to Anjani for making such a beautiful arrangements at such a short notice. Everything was awesome starting from decor,food and services.
Special thanks to Lipi for providing us 5 star service during the dinner.",5.0,November 2020,couple,shishir_rai,2,,"Hyderabad, India",,,,,,
65,Nov 2020,Good service,Rooms were well sanitized. Great service and friendly staff. Dorm service was taken care by Sattwaki and were really great.Happy to suggest to my friends.Quality of food is good but the menu is very much limited...,4.0,November 2020,business,Britto,1,,,,,,,,
66,Nov 2020,Good hospitality,"We are visiting Lemontree hotel for first time. We had asked for room cleaning. The room boy Girish did good job. Later Subhash came and meet us in room, he asked for preference and talking with good manners. I personally appreciate him. For sure we will come back in future.",5.0,November 2020,business,Muthupandian,1,,,,,,,,
67,Nov 2020,Awesome stay,"Here I'm staying from last one week. Everyday I came at evening and at reception I get warm welcome from team and hotel manger also never forget us to greet with smile. After a long hours reaching back room, and seeing such a wonderful clean room. Here manager Subash was very helpful and so polite. And people working in restaurant was good. Keep do the good work guys.",5.0,November 2020,business,Mathura Nayagam,1,,,,,,,,
68,Nov 2020,Excellent Experience,"Rooms were well sanitized. Great service and friendly staff. Dorm service was taken care by Venkatram, and were really great. He cleaned and sanitized the rooms very well everyday. Food was awesome. Overall a great experience and highly recommended.",5.0,November 2020,friends,Ritesh,2,,,,,,,,
69,Nov 2020,Excellent,"Excellent hotel with excellent view of greenery (Deccan park), Would definetely recommend this hotel to everybody! It's a true sample of excellent hospitality. Thank you Feroz and team for warm welcome!!!More",5.0,November 2020,family,Tayyab B,1,,"Hyderabad, India",,,,,,
70,Nov 2020,Good Reception and Hygiene,"I stayed in Lemontree Hitechcity , The reception staff ( Navya & Ankur ) were quite helping in bookings and also the housekeeping staff is well trained to maintain the hygiene standards. The hotel has a quite atmosphere",4.0,November 2020,,Jaya R,1,,,,5.0,4.0,,4.0,
71,Nov 2020,great,i stayed in lemon tree hotel which located in Hyderabad ..i had a nice experience with the staff and the room was also so perfect ..i would prefer to all who is planning to go Hyderabad for any reason so try this hotel. it's great 🙂,5.0,November 2020,solo,hiren,1,,,,,,,,
72,Nov 2020,Amazing facility,"Amazing service for everything.
Cab service is very good and always on time
Cab driver and security asadul Sk is very good in nature and also he is a good driver always on time and always good with conversation. Food is also great also.
Totally loved it.",5.0,October 2020,business,Adarsh Rai,1,,,,,,,,
73,Nov 2020,good hospitality and service,"The hospitality is good. Mr.Veda has assisted us very much and it was very helpful. The housekeeping service is excellent, which was taken care of Mr.Akram.I can refer. Lemontree to my friends for clean maintenance, good service and had a wonderful stay",5.0,November 2020,,Wanderer04784580470,1,,,,,,,,
74,Nov 2020,Engagement & Wedding Function,"We came as a family of 60 people and stayed at Lemon Tree Hitech City from 2nd November to 5th November.

It was the best stay my family could get, a very special thanks to Anjani (AM - Sales) who arranged everything from the Breakfast to Lunch to High Tea and Dinner every day without even the slightest hiccup.

An amazing Ball Room at the 7th floor was the highlight of my wedding function.

It's a great venue to throw a grand wedding!!!

Thanks Anjani once again for your support and coordination!!!",5.0,November 2020,family,Raghavan,2,1,,,,,,,
75,Nov 2020,J S. Patil,"Had a wonderful experience at Lemontree Hitec city. Very courteous and ever smiling team, fresh clean sanitised rooms, sumptuous and tasty breakfast and home cooked tasting dinner!
What all one wants for a successful business trip!!!
HAPPY! Will definitely come again!!",5.0,November 2020,business,J S Patil,1,,,,,,,,
